entite      type        nature      taille      
C17         integer     simple      1           
C16         integer     simple      1           
C15         integer     simple      1           
C14         integer     simple      1           
C13         integer     simple      1           
C11         integer     simple      1           
C10         integer     simple      1           
TEMP        integer     simple      1           
C9          integer     simple      1           
C6          integer     simple      1           
C8          integer     simple      1           
J           integer     simple      1           
B           real        simple      1           
A           real        simple      1           
T           real        tableau     12          
D           real        simple      1           
C           integer     constante   1           
